Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gorenja vas - Poljane;Površina [m2];4909;358;320;1056;1231;1944;7752;0;46;183;2603;4920;4200;0;0;207;605;3388;3293;0;0;0;1334;1959;6959;0;0;374;1652;4933;2487;0;131;0;1488;868;3150;0;103;303;1229;1515;761;0;0;125;0;636;2727;0;0;0;517;2210;6193;0;195;72;1869;4057;3550;0;0;1210;838;1502
Gorišnica;Število;4;0;0;0;1;3;8;0;0;1;3;4;1;0;1;0;0;0;3;1;0;0;1;1;7;1;0;3;2;1;1;0;0;0;0;1;12;0;2;5;3;2;15;1;1;3;3;7;6;1;0;2;1;2;26;2;5;13;1;5;13;0;1;4;5;3
Gorišnica;Površina [m2];703;0;0;0;139;564;969;0;0;178;254;537;146;0;146;0;0;0;863;161;0;0;360;342;918;64;0;380;266;208;201;0;0;0;0;201;1677;0;129;580;471;497;2220;34;312;345;513;1016;894;35;0;447;83;329;2804;85;260;1750;88;621;2004;0;85;435;885;599
Gorje;Število;13;0;0;10;1;2;8;0;1;0;0;7;2;0;0;1;1;0;7;0;0;0;7;0;3;0;0;1;0;2;6;0;0;0;3;3;0;0;0;0;0;0;2;0;0;1;1;0;5;0;0;2;2;1;4;0;0;1;3;0;3;0;0;1;1;1
Gorje;Površina [m2];1793;0;0;1049;156;588;1389;0;105;0;0;1284;243;0;0;93;150;0;1419;0;0;0;1419;0;401;0;0;88;0;313;1177;0;0;0;476;701;0;0;0;0;0;0;358;0;0;89;269;0;726;0;0;315;264;147;643;0;0;109;534;0;498;0;0;138;210;150
Gornja Radgona;Število;28;1;1;7;9;10;26;1;1;3;6;15;36;0;3;5;9;19;22;0;2;4;8;8;13;0;0;1;2;10;12;0;1;2;5;4;15;0;1;1;4;9;13;1;1;3;4;4;18;1;2;4;6;5;33;3;15;9;6;0;49;6;6;26;5;6
Gornja Radgona;Površina [m2];4483;125;142;810;1691;1715;4911;28;241;579;1040;3023;6987;0;334;943;1395;4315;3652;0;130;356;1224;1942;2476;0;0;147;274;2055;2297;0;70;458;700;1069;2991;0;182;143;756;1910;2433;80;60;525;720;1048;2953;50;176;756;968;1003;2691;77;618;847;1149;0;5545;753;305;2476;1038;973
Gornji Grad;Število;6;0;0;0;0;6;5;0;0;0;1;4;3;0;0;0;0;3;4;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;3;1;0;0;0;2;1;0;0;1;0;0;3;0;0;0;0;3;2;1;1;0;0;0;3;0;0;3;0;0
Gornji Grad;Površina [m2];995;0;0;0;0;995;994;0;0;0;85;909;600;0;0;0;0;600;804;0;0;0;0;804;0;0;0;0;0;0;159;0;0;0;0;159;662;302;0;0;0;360;232;0;0;232;0;0;453;0;0;0;0;453;85;41;44;0;0;0;458;0;0;458;0;0
Gornji Petrovci;Število;10;5;0;2;0;3;11;1;0;3;4;3;4;1;0;1;1;1;4;1;1;0;1;1;2;0;0;0;0;2;4;0;1;0;3;0;1;0;0;1;0;0;3;0;1;0;1;1;8;0;2;2;2;2;4;0;1;1;0;2;7;0;1;1;0;5
Gornji Petrovci;Površina [m2];973;304;0;199;0;470;1568;28;0;276;738;526;306;24;0;109;110;63;393;38;50;0;171;134;215;0;0;0;0;215;499;0;100;0;399;0;68;0;0;68;0;0;533;0;97;0;235;201;782;0;136;163;219;264;723;0;48;84;0;591;1663;0;60;97;0;1506
Grad;Število;3;0;1;1;0;1;6;0;0;1;4;1;1;0;0;0;0;1;4;0;0;2;2;0;7;0;4;3;0;0;4;1;1;0;0;2;9;0;1;1;5;2;3;0;2;0;1;0;2;0;0;0;1;1;4;0;0;0;2;2;5;0;1;0;2;2
Grad;Površina [m2];336;0;97;109;0;130;845;0;0;171;552;122;203;0;0;0;0;203;491;0;0;211;280;0;874;0;446;428;0;0;525;50;45;0;0;430;1857;0;126;154;1159;418;310;0;115;0;195;0;251;0;0;0;63;188;583;0;0;0;267;316;852;0;94;0;258;500
Grosuplje;Število;68;2;2;8;25;31;52;0;0;3;17;32;39;0;3;4;10;22;31;0;1;4;4;22;28;0;1;4;9;14;31;2;2;7;8;12;40;1;1;7;15;16;39;3;2;7;16;11;33;0;2;6;13;12;94;16;16;34;21;7;60;2;4;20;19;15
Grosuplje;Površina [m2];13016;35;120;1227;4026;7608;10837;0;0;400;2791;7646;8155;0;255;506;1870;5524;6810;0;102;632;878;5198;5709;0;84;396;1852;3377;5105;71;100;725;1560;2649;8227;25;78;1095;3020;4009;6367;163;108;907;2808;2381;6904;0;183;677;2591;3453;8386;686;851;2539;2759;1551;7118;66;156;1759;2666;2471
Hajdina;Število;3;0;0;1;0;2;18;1;1;1;13;2;5;1;0;0;3;1;5;0;0;1;1;3;4;1;1;0;2;0;5;0;0;2;0;3;8;0;1;3;1;3;11;0;4;0;3;4;10;0;3;1;1;5;9;1;0;3;4;1;6;0;0;1;0;5
Hajdina;Površina [m2];441;0;0;109;0;332;1757;78;63;47;1329;240;663;101;0;0;362;200;596;0;0;150;70;376;373;138;66;0;169;0;731;0;0;211;0;520;968;0;80;232;160;496;1408;0;211;0;259;938;1386;0;156;81;115;1034;1481;40;0;670;615;156;1117;0;0;120;0;997
Hoèe - Slivnica;Število;34;0;3;7;12;12;75;1;1;1;24;48;54;2;0;3;17;32;30;2;3;4;7;14;28;0;2;4;9;13;33;6;1;5;9;12;18;1;0;4;8;5;41;0;0;22;10;9;34;0;1;4;23;6;14;1;0;2;7;4;26;0;0;2;9;15
Hoèe - Slivnica;Površina [m2];4800;0;131;771;1535;2363;14150;91;48;75;3669;10267;5687;105;0;240;2199;3143;4238;72;192;505;999;2470;4549;0;133;324;1326;2766;3884;211;118;449;1311;1795;2841;44;0;537;1189;1071;4509;0;0;1826;1037;1646;4496;0;44;443;2959;1050;2322;42;0;242;1250;788;5146;0;0;253;2173;2720
Hodoš/Hodos;Število;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hodoš/Hodos;Površina [m2];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;185;0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horjul;Število;1;0;0;0;0;1;3;0;0;0;0;3;3;0;0;1;0;2;3;0;0;1;1;1;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;8;0;0;0;1;7;5;0;0;0;2;3;3;0;1;0;0;2;2;0;0;0;0;2
Horjul;Površina [m2];240;0;0;0;0;240;693;0;0;0;0;693;690;0;0;204;0;486;404;0;0;65;177;162;0;0;0;0;0;0;628;0;0;0;160;468;0;0;0;0;0;0;1645;0;0;0;128;1517;1052;0;0;0;362;690;354;0;82;0;0;272;659;0;0;0;0;659
Hrastnik;Število;6;0;0;0;1;5;6;0;0;0;2;4;3;0;0;0;0;3;21;6;2;7;1;5;12;0;0;0;1;11;8;0;0;0;2;6;2;0;0;1;0;1;5;0;0;0;2;3;5;0;0;2;1;2;3;0;0;0;1;2;10;0;0;1;3;6
Hrastnik;Površina [m2];840;0;0;0;113;727;1383;0;0;0;163;1220;406;0;0;0;0;406;1910;204;92;438;160;1016;2878;0;0;0;192;2686;1453;0;0;0;171;1282;347;0;0;178;0;169;594;0;0;0;214;380;527;0;0;173;123;231;638;0;0;0;151;487;1616;0;0;127;343;1146
Hrpelje - Kozina;Število;42;21;0;1;4;16;14;0;1;4;2;7;13;1;0;1;7;4;12;0;2;1;7;2;3;0;0;1;0;2;5;0;0;3;2;0;13;0;1;1;5;6;18;7;0;5;4;2;8;0;0;2;1;5;8;0;0;3;4;1;17;1;0;0;13;3
Hrpelje - Kozina;Površina [m2];4231;591;0;66;664;2910;2091;0;41;375;413;1262;1893;28;0;86;1139;640;2023;0;268;100;1235;420;566;0;0;89;0;477;656;0;0;426;230;0;1981;0;91;195;695;1000;1937;403;0;726;455;353;1777;0;0;504;182;1091;1737;0;0;240;952;545;2790;183;0;0;1742;865
Idrija;Število;27;7;0;3;3;14;20;0;1;0;1;18;10;0;0;1;0;9;12;2;1;0;3;6;14;1;1;0;4;8;19;0;1;4;3;11;10;1;0;2;1;6;18;1;2;3;1;11;33;0;4;11;6;12;15;1;1;0;1;12;18;0;0;6;6;6
Idrija;Površina [m2];4072;699;0;429;465;2479;3440;0;49;0;66;3325;2076;0;0;73;0;2003;2096;164;148;0;598;1186;2782;27;170;0;711;1874;3570;0;144;610;314;2502;1489;34;0;197;127;1131;3364;50;152;516;107;2539;4322;0;176;936;700;2510;3504;94;71;0;243;3096;2737;0;0;561;806;1370
Ig;Število;36;0;0;2;3;31;10;0;0;1;3;6;17;0;1;1;6;9;9;1;1;1;2;4;10;0;0;5;2;3;15;0;0;1;5;9;13;0;2;0;1;10;15;0;1;1;2;11;13;0;0;1;1;11;28;1;3;0;3;21;24;0;0;2;7;15
Ig;Površina [m2];5928;0;0;284;404;5240;2108;0;0;95;251;1762;3125;0;190;275;956;1704;1368;80;94;70;308;816;1310;0;0;472;304;534;2785;0;0;46;714;2025;2311;0;118;0;96;2097;1988;0;42;58;302;1586;2373;0;0;105;166;2102;3632;100;156;0;447;2929;4186;0;0;132;1335;2719
Ilirska Bistrica;Število;22;0;2;4;7;9;14;0;1;3;6;4;20;0;0;2;9;9;20;0;3;3;7;7;14;0;3;1;5;5;28;1;4;2;12;9;11;0;0;4;5;2;9;0;2;1;3;3;21;0;2;1;16;2;8;0;0;2;5;1;7;0;0;2;5;0
Ilirska Bistrica;Površina [m2];3334;0;229;477;839;1789;2072;0;110;362;932;668;3006;0;0;192;1209;1605;2797;0;161;225;1030;1381;1822;0;180;170;632;840;3526;44;286;191;1773;1232;1594;0;0;585;609;400;1343;0;136;69;407;731;3289;0;99;113;2548;529;1106;0;0;190;712;204;995;0;0;126;869;0
Ivanèna Gorica;Število;110;1;2;18;40;49;71;0;2;18;22;29;44;1;1;7;15;20;47;2;3;4;18;20;36;0;1;7;17;11;39;1;0;16;16;6;42;2;1;15;15;9;55;3;2;11;23;16;41;0;4;7;16;14;23;0;3;6;8;6;27;1;3;7;5;11
Ivanèna Gorica;Površina [m2];17019;23;230;2116;5445;9205;12713;0;200;2495;3498;6520;8563;42;81;919;2744;4777;9763;60;223;656;3488;5336;6236;0;63;748;2556;2869;5937;52;0;1949;2724;1212;6666;147;93;1890;2427;2109;10455;116;161;1505;4702;3971;7263;0;443;1049;3058;2713;3772;0;210;749;1453;1360;4846;119;264;870;855;2738
Izola/Isola;Število;40;3;13;9;10;5;40;7;9;12;8;4;227;127;52;29;15;4;15;3;3;5;2;2;16;4;2;2;3;5;40;8;0;17;12;3;96;20;48;9;11;8;15;4;5;1;4;1;13;1;1;5;5;1;12;0;4;5;0;3;17;0;0;6;6;5
Izola/Isola;Površina [m2];3639;77;709;1010;1220;623;3705;243;444;1104;1219;695;13647;5809;2902;2476;1831;629;1309;194;162;433;279;241;1713;124;114;161;345;969;3439;342;0;1392;1285;420;7496;779;2521;1128;1778;1290;1594;401;345;80;641;127;1714;71;140;451;735;317;1540;0;290;620;0;630;2822;0;0;508;990;1324
Jesenice;Število;66;15;29;5;9;8;16;1;2;0;2;11;10;0;0;0;1;9;15;0;1;3;3;8;11;1;0;1;2;7;9;0;1;0;1;7;8;1;0;0;1;6;15;2;0;5;4;4;7;0;0;1;0;6;6;0;0;1;0;5;19;1;1;8;1;8
Jesenice;Površina [m2];4531;541;1326;388;979;1297;2125;227;203;0;273;1422;1347;0;0;0;101;1246;1945;0;63;342;321;1219;1390;30;0;62;223;1075;1315;0;90;0;181;1044;1268;263;0;0;211;794;1744;61;0;498;492;693;1202;0;0;92;0;1110;946;0;0;98;0;848;1713;29;40;378;76;1190
Jezersko;Število;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;3;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;2;0;1;1;0;0
Jezersko;Površina [m2];124;0;0;124;0;0;0;0;0;0;0;0;349;0;0;0;160;189;296;51;0;51;0;194;0;0;0;0;0;0;64;0;0;0;64;0;0;0;0;0;0;0;127;0;0;0;0;127;169;0;0;0;0;169;183;0;0;0;0;183;188;0;59;129;0;0
Juršinci;Število;6;0;0;1;0;5;5;0;0;0;1;4;2;0;0;1;0;1;2;0;0;1;0;1;5;1;1;1;2;0;2;0;0;1;0;1;11;2;0;3;2;4;4;0;0;0;2;2;11;0;1;3;1;6;6;1;1;1;1;2;6;0;1;1;2;2
Juršinci;Površina [m2];856;0;0;75;0;781;1152;0;0;0;314;838;334;0;0;169;0;165;207;0;0;60;0;147;524;18;130;84;292;0;277;0;0;105;0;172;1389;118;0;237;267;767;491;0;0;0;201;290;2437;0;109;345;126;1857;830;194;57;128;84;367;907;0;66;167;347;327
Kamnik;Število;96;2;38;8;15;33;191;102;51;5;7;26;49;3;1;2;3;40;45;2;4;5;6;28;32;0;0;4;6;22;29;1;2;1;3;22;32;0;1;4;11;16;29;0;2;4;5;18;29;0;2;1;1;25;43;1;1;1;10;30;39;1;4;3;6;25
Kamnik;Površina [m2];8338;75;1209;725;1651;4678;11715;3870;2616;521;866;3842;7772;97;59;178;346;7092;5839;76;297;366;680;4420;4032;0;0;341;624;3067;4017;43;79;85;384;3426;4348;0;90;308;1406;2544;3811;0;101;322;551;2837;4674;0;102;96;135;4341;7471;42;146;73;1744;5466;6497;252;416;410;864;4555
Kanal;Število;10;0;0;0;5;5;1;0;0;0;1;0;7;0;0;1;2;4;9;0;1;0;4;4;4;0;0;1;0;3;2;0;1;1;0;0;4;0;0;1;0;3;8;0;0;3;3;2;6;0;0;0;2;4;6;0;0;2;1;3;1;0;0;0;0;1
Kanal;Površina [m2];1741;0;0;0;718;1023;116;0;0;0;116;0;1086;0;0;132;260;694;1660;0;63;0;639;958;717;0;0;96;0;621;227;0;82;145;0;0;594;0;0;142;0;452;1193;0;0;389;405;399;884;0;0;0;230;654;703;0;0;212;187;304;161;0;0;0;0;161
Kidrièevo;Število;7;0;0;0;4;3;11;0;0;3;0;8;9;0;1;2;2;4;2;2;0;0;0;0;2;0;0;0;1;1;4;0;1;3;0;0;13;1;1;3;4;4;2;0;0;0;2;0;9;0;1;2;2;4;35;0;1;23;7;4;16;1;2;2;7;4
Kidrièevo;Površina [m2];1238;0;0;0;534;704;2228;0;0;400;0;1828;1459;0;52;282;255;870;368;368;0;0;0;0;378;0;0;0;163;215;531;0;45;486;0;0;2153;30;90;548;475;1010;430;0;0;0;430;0;1319;0;70;225;350;674;3408;0;67;1510;1112;719;2493;52;132;204;1017;1088
Kobarid;Število;11;0;1;4;1;5;13;0;1;2;7;3;13;1;1;0;4;7;30;6;1;12;1;10;8;0;1;0;1;6;12;0;1;1;2;8;9;0;2;2;2;3;4;0;0;3;1;0;6;0;1;2;1;2;2;0;1;0;0;1;9;0;4;2;1;2
Kobarid;Površina [m2];1694;0;109;360;168;1057;1799;0;169;215;856;559;1826;45;98;0;539;1144;3635;186;60;934;113;2342;1333;0;33;0;162;1138;1896;0;57;120;206;1513;1555;0;93;416;417;629;728;0;0;569;159;0;703;0;75;197;96;335;357;0;112;0;0;245;1167;0;278;254;127;508
Kobilje;Število;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;0;3;1;0;0;0;0;1;2;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0
Kobilje;Površina [m2];0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;99;0;377;0;0;81;87;209;159;0;0;0;0;159;0;0;0;0;0;0;494;0;60;0;0;434;131;0;0;0;0;131;347;0;0;0;169;178;127;0;0;0;0;127;0;0;0;0;0;0
Koèevje;Število;28;0;6;16;4;2;22;0;2;5;8;7;22;0;3;6;10;3;9;0;0;5;3;1;17;1;2;0;11;3;21;0;2;4;5;10;12;0;0;2;5;5;81;0;36;37;3;5;6;0;0;3;1;2;16;1;5;6;2;2;57;22;23;4;4;4
Koèevje;Površina [m2];3600;0;558;2009;696;337;3162;0;92;726;1293;1051;2432;0;244;569;1175;444;1018;0;0;466;457;95;2255;30;288;0;1474;463;2736;0;100;386;667;1583;1934;0;0;235;830;869;6812;0;2539;2950;398;925;726;0;0;316;120;290;2078;50;530;894;238;366;3945;900;1245;567;583;650
Komen;Število;6;0;1;1;1;3;9;0;1;1;1;6;9;0;0;0;3;6;6;0;4;1;1;0;3;0;0;2;1;0;2;0;0;0;1;1;6;0;0;3;0;3;4;0;0;1;3;0;3;0;0;2;0;1;5;1;0;2;1;1;5;0;1;2;2;0
Komen;Površina [m2];1038;0;60;206;189;583;1474;0;65;107;223;1079;1622;0;0;0;480;1142;756;0;236;145;375;0;306;0;0;160;146;0;441;0;0;0;210;231;1296;0;0;486;0;810;457;0;0;111;346;0;530;0;0;293;0;237;890;18;0;296;161;415;1502;0;56;832;614;0
Komenda;Število;176;24;61;43;18;30;102;13;35;24;13;17;10;0;1;0;1;8;26;0;0;3;12;11;17;0;0;0;1;16;7;0;0;0;1;6;20;0;0;0;6;14;10;0;0;0;1;9;6;0;1;1;1;3;9;0;0;1;1;7;7;0;0;0;0;7
Komenda;Površina [m2];15750;917;4018;4208;2295;4312;8536;568;1990;1988;1447;2543;1184;0;47;0;125;1012;3259;0;0;268;1221;1770;2565;0;0;0;132;2433;1119;0;0;0;81;1038;2961;0;0;0;645;2316;1708;0;0;0;127;1581;665;0;72;101;88;404;1359;0;0;69;78;1212;875;0;0;0;0;875
Koper/Capodistria;Število;152;0;8;35;38;71;227;60;61;21;35;50;200;116;9;7;28;40;52;0;3;7;20;22;57;1;0;9;17;30;34;0;3;1;9;21;48;1;4;7;17;19;32;0;0;2;8;22;70;2;7;16;13;32;80;5;2;9;18;46;55;1;1;3;21;29
Koper/Capodistria;Površina [m2];20990;0;514;3005;4656;12815;21989;2400;3889;2056;4783;8861;15187;2710;438;928;3159;7952;7458;0;270;620;2533;4035;9006;40;0;1057;2250;5659;5413;0;212;82;1204;3915;6991;35;267;801;2728;3160;5364;0;0;413;1017;3934;7764;155;244;976;1376;5013;7865;149;85;509;1834;5288;8105;22;42;278;2556;5207
Kostanjevica na Krki;Število;10;1;1;2;4;2;7;0;0;2;1;4;9;0;0;1;1;7;4;0;0;1;1;2;3;0;0;0;2;1;5;0;1;2;1;1;3;0;0;0;0;3;5;0;0;1;2;2;5;0;0;1;2;2;2;0;0;2;0;0;9;0;0;5;0;4
Kostanjevica na Krki;Površina [m2];1055;45;41;396;226;347;939;0;0;192;135;612;1057;0;0;56;136;865;655;0;0;121;164;370;344;0;0;0;238;106;484;0;30;250;75;129;450;0;0;0;0;450;770;0;0;94;375;301;734;0;0;180;365;189;340;0;0;340;0;0;1369;0;0;684;0;685
Kostel;Število;4;0;4;0;0;0;5;0;1;2;2;0;3;0;1;2;0;0;2;0;0;0;1;1;6;0;4;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;1;1;0;1;0;0;0
Kostel;Površina [m2];270;0;270;0;0;0;495;0;66;194;235;0;216;0;30;186;0;0;282;0;0;0;70;212;455;0;214;0;76;165;93;0;93;0;0;0;180;0;180;0;0;0;0;0;0;0;0;0;70;0;70;0;0;0;214;0;104;0;0;110;65;0;65;0;0;0
Kozje;Število;10;1;0;0;1;8;17;1;0;5;1;10;9;0;0;1;1;7;16;0;0;1;2;13;5;0;0;0;0;5;5;0;0;1;1;3;7;0;0;1;1;5;5;0;0;0;1;4;1;0;0;0;1;0;1;0;0;0;0;1;4;0;1;0;0;3
Kozje;Površina [m2];1210;20;0;0;128;1062;2228;69;0;438;112;1609;1265;0;0;101;106;1058;2461;0;0;154;293;2014;1133;0;0;0;0;1133;721;0;0;90;180;451;1438;0;0;120;156;1162;712;0;0;0;96;616;100;0;0;0;100;0;95;0;0;0;0;95;606;0;97;0;0;509
Kranj;Število;167;9;33;16;67;42;119;8;20;30;24;37;86;7;19;4;17;39;102;8;37;8;20;29;29;0;2;3;9;15;26;0;0;5;13;8;26;2;1;3;6;14;44;0;0;4;16;24;42;2;5;1;7;27;70;1;3;10;22;34;73;5;16;19;11;22
Kranj;Površina [m2];27367;337;1733;1213;14461;9623;14981;297;1009;2329;2717;8629;11856;252;1066;499;2520;7519;12415;352;2721;701;2691;5950;4404;0;209;351;1436;2408;4277;0;0;698;1752;1827;4302;230;257;457;639;2719;5626;0;0;275;1921;3430;6825;60;277;97;761;5630;10104;42;189;876;3037;5960;7792;170;970;1628;1333;3691
Kranjska Gora;Število;27;1;4;9;7;6;32;4;18;5;3;2;8;1;0;0;2;5;10;0;1;6;0;3;5;0;0;0;2;3;15;0;0;6;2;7;9;0;3;3;0;3;9;0;0;2;2;5;13;0;0;6;0;7;10;2;5;0;2;1;26;0;4;15;3;4
Kranjska Gora;Površina [m2];2762;62;246;647;873;934;1596;147;307;407;283;452;1315;77;0;0;272;966;794;0;32;450;0;312;1130;0;0;0;404;726;2174;0;0;404;370;1400;1005;0;184;327;0;494;1278;0;0;126;284;868;1446;0;0;439;0;1007;906;259;322;0;247;78;1883;0;204;618;328;733
Križevci;Število;8;0;1;0;4;3;14;0;1;3;4;6;6;0;1;0;3;2;6;0;1;0;4;1;7;1;1;2;2;1;4;0;1;2;0;1;5;0;2;0;1;2;4;0;0;0;2;2;5;0;0;2;1;2;6;0;0;1;3;2;6;0;0;0;4;2
Križevci;Površina [m2];1030;0;61;0;625;344;1921;0;26;282;500;1113;923;0;43;0;478;402;677;0;31;0;514;132;634;19;53;183;231;148;400;0;54;194;0;152;485;0;115;0;116;254;545;0;0;0;267;278;603;0;0;230;40;333;654;0;0;74;334;246;771;0;0;0;523;248
Krško;Število;58;1;23;10;14;10;49;1;1;8;18;21;46;0;0;3;7;36;39;1;3;10;18;7;39;0;0;7;13;19;29;0;7;3;8;11;45;0;7;8;12;18;53;5;3;13;9;23;46;1;6;15;9;15;39;1;4;16;7;11;50;5;2;21;9;13
Krško;Površina [m2];7973;146;1956;1658;2489;1724;7344;51;26;1129;2526;3612;5864;0;0;310;702;4852;5080;45;254;1050;2526;1205;5580;0;0;1106;1626;2848;3067;0;403;391;880;1393;5488;0;503;783;1394;2808;6679;220;304;1830;1206;3119;7080;49;427;2715;1518;2371;5378;34;354;2074;1090;1826;6199;223;148;2113;1711;2004
Kungota;Število;35;2;8;8;3;14;41;0;0;3;7;31;24;0;3;9;1;11;16;1;0;2;4;9;13;0;1;0;3;9;8;1;1;1;0;5;8;0;0;2;3;3;5;0;0;2;1;2;5;0;1;0;1;3;9;0;1;1;1;6;14;0;3;4;4;3
Kungota;Površina [m2];5103;136;511;988;482;2986;7682;0;0;285;1306;6091;3608;0;201;1129;191;2087;2565;43;0;184;665;1673;2318;0;76;0;507;1735;1163;132;107;58;0;866;1070;0;0;244;303;523;1050;0;0;251;242;557;932;0;82;0;196;654;1205;0;28;96;120;961;1801;0;148;509;445;699
Kuzma;Število;4;0;0;2;0;2;3;0;1;0;0;2;6;0;2;1;1;2;3;0;1;1;0;1;6;0;0;2;1;3;6;1;1;0;1;3;8;0;1;3;3;1;3;0;0;3;0;0;7;1;1;2;2;1;16;10;0;1;5;0;3;0;0;0;1;2
Kuzma;Površina [m2];604;0;0;243;0;361;385;0;107;0;0;278;852;0;125;73;205;449;364;0;75;36;0;253;1320;0;0;250;274;796;654;32;19;0;182;421;1588;0;27;310;536;715;246;0;0;246;0;0;754;55;40;159;298;202;1155;391;0;186;578;0;542;0;0;0;77;465
Laško;Število;17;2;1;0;2;12;24;2;2;3;8;9;11;0;1;0;4;6;23;1;1;2;3;16;19;0;1;0;4;14;16;0;1;0;6;9;35;0;3;4;5;23;8;0;0;0;0;8;7;0;0;1;1;5;10;0;0;0;3;7;8;0;1;1;1;5
Laško;Površina [m2];2358;100;100;0;348;1810;3179;22;56;83;1228;1790;1474;0;30;0;422;1022;1944;15;34;111;198;1586;1882;0;22;0;310;1550;1265;0;75;0;357;833;4461;0;120;333;470;3538;978;0;0;0;0;978;948;0;0;60;63;825;1110;0;0;0;256;854;795;0;29;54;72;640
Lenart;Število;54;0;11;22;6;15;22;0;1;7;2;12;135;16;45;39;20;15;85;4;23;26;19;13;17;0;2;3;3;9;25;3;2;6;3;11;15;0;2;1;5;7;18;0;1;4;8;5;10;1;1;2;3;3;22;0;5;4;6;7;19;0;1;7;5;6
Lenart;Površina [m2];6601;0;579;1706;842;3474;3612;0;157;913;345;2197;10560;615;2336;2595;2157;2857;9337;151;1692;2241;2585;2668;2767;0;234;288;458;1787;2965;128;81;491;299;1966;2782;0;95;160;1031;1496;2594;0;64;442;1174;914;1591;69;97;271;447;707;2928;0;322;326;890;1390;3356;0;120;608;1208;1420
Lendava/Lendva;Število;24;0;2;7;8;7;17;1;2;7;6;1;27;2;1;6;11;7;24;0;3;7;6;8;17;2;1;4;6;4;16;2;3;2;6;3;32;1;2;0;12;17;5;0;0;1;1;3;8;0;1;4;2;1;7;0;1;2;1;3;14;0;1;3;5;5
Lendava/Lendva;Površina [m2];3381;0;162;777;1197;1245;1624;24;66;511;893;130;4067;131;47;545;1842;1502;2729;0;185;509;707;1328;1980;66;51;392;714;757;1607;82;212;129;679;505;4081;74;198;0;1114;2695;544;0;0;30;78;436;675;0;32;249;254;140;728;0;68;99;90;471;1741;0;161;194;579;807
Litija;Število;61;0;2;3;21;35;47;0;0;7;3;37;67;0;1;6;10;50;40;0;4;0;5;31;41;0;2;5;3;31;18;0;0;0;0;18;33;1;1;2;2;27;32;2;3;3;5;19;23;0;0;2;6;15;14;1;0;0;0;13;15;0;1;1;2;11
