Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Litija;Površina [m2];10288;0;285;379;3173;6451;8870;0;0;978;418;7474;11365;0;73;499;1192;9601;6788;0;223;0;539;6026;6905;0;104;472;308;6021;3798;0;0;0;0;3798;5781;76;68;383;282;4972;4802;53;160;259;411;3919;3468;0;0;125;647;2696;2683;154;0;0;0;2529;2534;0;273;113;228;1920
Ljubljana;Število;464;80;63;137;72;112;716;61;270;215;82;88;150;3;11;10;50;76;130;5;15;12;24;74;432;66;149;86;41;90;249;51;32;50;41;75;171;16;8;25;39;83;188;28;34;22;31;73;269;18;68;30;59;94;470;13;70;137;86;164;347;12;60;93;58;124
Ljubljana;Površina [m2];47106;3099;2958;9890;8745;22414;66560;2299;16133;19672;10976;17480;26691;136;2052;913;7021;16569;23341;248;1095;1123;3639;17236;43605;1970;8713;8621;5973;18328;30171;3258;1966;4569;5996;14382;30315;578;624;2925;6697;19491;22962;1178;1941;1690;5150;13003;35281;2403;6062;2615;8314;15887;61850;408;5486;12112;10389;33455;47471;802;5803;8923;7281;24662
Ljubno;Število;5;0;0;0;0;5;5;0;0;0;0;5;0;0;0;0;0;0;4;0;0;0;0;4;4;0;0;0;0;4;4;0;0;1;0;3;3;0;0;0;1;2;3;0;1;0;1;1;4;0;0;1;1;2;3;1;0;2;0;0;10;1;1;4;4;0
Ljubno;Površina [m2];694;0;0;0;0;694;805;0;0;0;0;805;0;0;0;0;0;0;533;0;0;0;0;533;505;0;0;0;0;505;645;0;0;127;0;518;515;0;0;0;92;423;405;0;143;0;124;138;796;0;0;238;168;390;281;87;0;194;0;0;1543;75;191;585;692;0
Ljutomer;Število;45;7;12;11;5;10;38;5;6;9;5;13;13;3;4;0;3;3;14;1;4;3;5;1;23;1;3;4;9;6;17;0;3;3;7;4;32;1;9;12;4;6;11;2;2;3;0;4;16;2;1;4;8;1;11;0;3;2;3;3;16;2;3;2;5;4
Ljutomer;Površina [m2];5042;187;507;1264;1019;2065;4135;205;260;669;737;2264;1297;94;329;0;452;422;1292;46;192;307;590;157;2305;38;152;341;960;814;1941;0;130;267;801;743;3570;24;805;1269;464;1008;1120;75;169;304;0;572;1725;52;58;446;1075;94;934;0;236;174;231;293;2123;96;229;250;667;881
Log - Dragomer;Število;5;0;0;0;1;4;10;0;0;0;5;5;3;0;0;0;0;3;4;0;1;1;1;1;5;0;0;2;0;3;1;0;0;0;0;1;8;0;0;1;4;3;7;0;0;0;0;7;14;0;0;0;0;14;4;1;0;0;0;3;10;0;2;2;5;1
Log - Dragomer;Površina [m2];1267;0;0;0;137;1130;1619;0;0;0;623;996;768;0;0;0;0;768;526;0;59;106;155;206;1101;0;0;303;0;798;170;0;0;0;0;170;1312;0;0;107;581;624;1488;0;0;0;0;1488;3760;0;0;0;0;3760;1356;141;0;0;0;1215;1285;0;246;274;623;142
Logatec;Število;72;16;2;10;4;40;48;9;2;4;14;19;73;0;4;35;16;18;33;1;5;1;4;22;25;0;0;1;4;20;32;1;0;0;3;28;31;0;1;2;8;20;19;0;0;0;4;15;20;0;1;0;5;14;18;3;0;1;4;10;41;6;4;2;9;20
Logatec;Površina [m2];9136;525;136;573;515;7387;6987;348;94;324;2518;3703;8832;0;210;2925;2621;3076;5063;50;330;62;515;4106;4736;0;0;69;613;4054;6453;38;0;0;397;6018;5720;0;98;206;1221;4195;3205;0;0;0;399;2806;4302;0;74;0;810;3418;2871;320;0;61;432;2058;6039;614;258;146;882;4139
Loška dolina;Število;6;0;0;0;3;3;2;0;0;0;0;2;5;0;0;0;1;4;12;0;0;3;4;5;0;0;0;0;0;0;5;0;0;2;2;1;5;0;0;2;2;1;5;0;0;3;0;2;7;0;1;0;1;5;3;0;0;2;0;1;3;0;0;0;0;3
Loška dolina;Površina [m2];1210;0;0;0;649;561;443;0;0;0;0;443;1140;0;0;0;189;951;1732;0;0;257;668;807;0;0;0;0;0;0;752;0;0;237;383;132;641;0;0;282;207;152;754;0;0;345;0;409;1188;0;51;0;162;975;326;0;0;197;0;129;597;0;0;0;0;597
Loški Potok;Število;8;1;0;2;0;5;9;1;2;2;1;3;3;0;0;0;2;1;3;0;0;0;1;2;6;0;0;0;2;4;8;1;1;0;2;4;3;1;0;0;0;2;2;0;0;0;0;2;2;0;0;1;0;1;2;0;0;0;0;2;13;4;5;0;2;2
Loški Potok;Površina [m2];1401;48;0;302;0;1051;1298;152;128;183;287;548;736;0;0;0;409;327;550;0;0;0;151;399;1007;0;0;0;279;728;1467;34;183;0;322;928;525;160;0;0;0;365;497;0;0;0;0;497;362;0;0;88;0;274;465;0;0;0;0;465;1328;174;368;0;455;331
Lovrenc na Pohorju;Število;25;0;10;10;1;4;6;0;0;1;0;5;8;0;0;0;1;7;12;0;1;4;4;3;4;0;1;1;0;2;8;0;1;2;1;4;3;1;1;0;0;1;4;0;0;1;1;2;1;0;0;0;0;1;2;0;1;0;1;0;1;0;0;0;0;1
Lovrenc na Pohorju;Površina [m2];2114;0;639;613;106;756;982;0;0;60;0;922;1319;0;0;0;79;1240;1473;0;53;278;552;590;491;0;68;71;0;352;824;0;33;138;98;555;251;56;23;0;0;172;513;0;0;112;105;296;125;0;0;0;0;125;169;0;17;0;152;0;156;0;0;0;0;156
Luèe;Število;2;0;0;0;0;2;2;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;4;0;0;2;1;1;2;0;0;0;1;1;3;0;0;1;0;2;3;0;1;0;1;1;2;1;0;0;1;0;2;1;0;0;0;1
Luèe;Površina [m2];267;0;0;0;0;267;310;0;0;0;0;310;209;0;0;0;0;209;192;0;0;0;0;192;42;0;42;0;0;0;444;0;0;212;141;91;189;0;0;0;62;127;382;0;0;84;0;298;315;0;72;0;115;128;230;50;0;0;180;0;258;72;0;0;0;186
Lukovica;Število;6;0;0;1;1;4;4;0;0;0;2;2;3;0;0;0;1;2;8;1;0;2;0;5;8;0;0;0;2;6;20;2;0;0;10;8;13;0;0;0;4;9;11;0;0;0;0;11;11;1;0;1;0;9;23;0;0;1;0;22;14;0;0;1;1;12
Lukovica;Površina [m2];910;0;0;104;90;716;600;0;0;0;272;328;555;0;0;0;184;371;1133;116;0;222;0;795;1480;0;0;0;362;1118;2261;181;0;0;1060;1020;1920;0;0;0;509;1411;1834;0;0;0;0;1834;1667;40;0;90;0;1537;3618;0;0;44;0;3574;2251;0;0;230;81;1940
Majšperk;Število;8;1;1;1;2;3;6;0;0;0;4;2;4;2;0;2;0;0;3;0;0;0;3;0;3;0;1;1;1;0;2;1;0;0;1;0;4;1;0;0;1;2;14;2;0;1;5;6;11;0;0;0;4;7;5;0;1;1;3;0;13;0;4;6;1;2
Majšperk;Površina [m2];835;82;59;203;198;293;906;0;0;0;479;427;345;140;0;205;0;0;621;0;0;0;621;0;423;0;79;209;135;0;174;41;0;0;133;0;935;23;0;0;459;453;2330;150;0;153;924;1103;2385;0;0;0;986;1399;945;0;120;217;608;0;1989;0;374;960;149;506
Makole;Število;4;0;0;1;2;1;7;0;2;1;2;2;7;0;0;2;1;4;4;1;1;0;2;0;7;1;1;0;3;2;3;0;0;2;1;0;3;0;0;2;1;0;5;0;0;2;0;3;5;0;1;0;2;2;2;0;0;1;0;1;0;0;0;0;0;0
Makole;Površina [m2];763;0;0;105;379;279;1403;0;219;181;506;497;817;0;0;236;93;488;397;37;61;0;299;0;714;38;45;0;264;367;279;0;0;179;100;0;361;0;0;228;133;0;957;0;0;158;0;799;994;0;49;0;457;488;281;0;0;87;0;194;0;0;0;0;0;0
Maribor;Število;115;2;0;9;34;70;105;4;2;9;30;60;61;2;0;6;23;30;71;1;14;12;18;26;86;8;7;26;18;27;92;0;4;23;15;50;62;3;7;9;17;26;88;20;2;4;18;44;93;1;4;12;21;55;127;9;29;11;33;45;204;6;2;19;42;135
Maribor;Površina [m2];19005;183;0;1099;4865;12858;18245;233;183;907;4601;12321;9885;100;0;615;3664;5506;10767;32;725;900;2672;6438;12357;222;483;3030;3071;5551;15729;0;211;1996;2007;11515;8591;85;365;770;2316;5055;12974;686;213;489;2718;8868;13276;77;225;1168;3390;8416;15121;431;1565;1077;4335;7713;29662;578;123;1911;5540;21510
Markovci;Število;5;1;0;0;2;2;6;0;0;1;1;4;8;0;0;0;0;8;2;0;1;0;0;1;4;0;0;0;0;4;2;0;1;0;0;1;8;0;0;1;2;5;10;0;1;1;2;6;5;0;0;1;3;1;4;0;0;0;0;4;8;0;0;0;4;4
Markovci;Površina [m2];572;73;0;0;225;274;1361;0;0;203;150;1008;1459;0;0;0;0;1459;269;0;38;0;0;231;778;0;0;0;0;778;226;0;82;0;0;144;1310;0;0;138;231;941;1638;0;68;70;382;1118;909;0;0;201;431;277;555;0;0;0;0;555;1324;0;0;0;608;716
Medvode;Število;75;1;6;5;16;47;52;0;2;2;16;32;40;0;3;1;8;28;36;0;2;0;7;27;42;5;2;3;10;22;35;1;0;6;5;23;22;5;0;1;3;13;23;0;0;3;7;13;31;0;2;13;4;12;21;0;0;1;5;15;28;4;0;1;1;22
Medvode;Površina [m2];11065;57;194;688;2039;8087;7557;0;92;203;2247;5015;6359;0;279;62;980;5038;6199;0;88;0;1554;4557;6055;110;180;369;1427;3969;5266;39;0;627;669;3931;3692;172;0;152;615;2753;4415;0;0;155;1121;3139;5201;0;508;1468;698;2527;3620;0;0;105;565;2950;4491;576;0;125;259;3531
Mengeš;Število;3;0;2;0;0;1;5;0;0;1;0;4;4;0;0;1;0;3;0;0;0;0;0;0;14;8;0;3;1;2;19;0;0;0;2;17;18;0;0;0;1;17;19;0;0;0;5;14;21;0;0;0;0;21;15;0;0;0;0;15;13;0;0;0;0;13
Mengeš;Površina [m2];422;0;232;0;0;190;634;0;0;86;0;548;535;0;0;158;0;377;0;0;0;0;0;0;952;270;0;234;105;343;2653;0;0;0;310;2343;2813;0;0;0;188;2625;3024;0;0;0;600;2424;2875;0;0;0;0;2875;1796;0;0;0;0;1796;2433;0;0;0;0;2433
Metlika;Število;15;5;2;3;2;3;23;4;1;2;4;12;16;3;0;2;3;8;20;3;0;1;6;10;16;2;0;1;5;8;19;2;2;1;4;10;13;0;2;2;2;7;9;1;0;0;2;6;6;0;0;2;1;3;2;0;0;1;0;1;7;0;0;0;4;3
Metlika;Površina [m2];1408;142;93;236;329;608;3334;107;89;200;558;2380;2076;80;0;188;321;1487;3777;85;0;106;886;2700;1960;54;0;59;661;1186;2977;130;105;134;425;2183;1979;0;134;175;233;1437;1363;23;0;0;227;1113;1034;0;0;188;213;633;309;0;0;87;0;222;1045;0;0;0;548;497
Mežica;Število;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;1;2;1;0;0;1;0;3;3;0;0;0;0;1;0;0;0;1;0;3;0;0;0;3;0;22;5;9;5;1;2
Mežica;Površina [m2];0;0;0;0;0;0;112;0;0;0;0;112;242;0;0;0;242;0;442;0;0;0;0;442;0;0;0;0;0;0;227;0;80;0;0;147;171;34;0;0;137;0;149;149;0;0;0;0;273;0;0;0;273;0;750;0;0;0;750;0;1748;213;515;357;207;456
Miklavž na Dravskem polju;Število;29;0;0;3;6;20;44;0;1;1;30;12;14;0;0;4;3;7;16;0;0;1;10;5;26;0;0;2;3;21;9;0;0;0;2;7;9;0;1;2;4;2;20;0;0;0;4;16;9;1;1;0;3;4;4;0;0;0;2;2;17;0;1;1;4;11
Miklavž na Dravskem polju;Površina [m2];4721;0;0;315;947;3459;7140;0;136;170;4797;2037;2100;0;0;297;790;1013;2154;0;0;65;1206;883;5106;0;0;215;268;4623;1412;0;0;0;233;1179;1144;0;115;195;556;278;2852;0;0;0;562;2290;1533;22;64;0;447;1000;1129;0;0;0;447;682;2467;0;74;105;509;1779
Miren - Kostanjevica;Število;39;0;2;2;8;27;9;1;2;1;4;1;9;0;1;0;3;5;8;0;0;1;0;7;10;1;3;2;3;1;7;0;0;0;4;3;8;0;1;0;3;4;11;0;0;2;3;6;11;0;1;0;2;8;10;0;0;1;1;8;6;0;0;2;0;4
Miren - Kostanjevica;Površina [m2];6376;0;140;214;1496;4526;1051;38;99;50;726;138;1733;0;111;0;524;1098;1328;0;0;66;0;1262;1387;123;250;228;674;112;1075;0;0;0;561;514;898;0;48;0;385;465;1815;0;0;296;382;1137;1319;0;61;0;232;1026;1522;0;0;106;146;1270;1611;0;0;489;0;1122
Mirna;Število;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;8;1;1;2;0;4;6;0;0;0;3;3;8;0;1;1;2;4;10;0;1;3;5;1;2;0;0;0;1;1;1;0;0;1;0;0
Mirna;Površina [m2];-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;83;0;83;0;0;0;248;0;0;0;0;248;1349;58;99;251;0;941;1282;0;0;0;510;772;1609;0;115;118;293;1083;1710;0;112;379;966;253;286;0;0;0;130;156;109;0;0;109;0;0
Mirna Peè;Število;4;1;0;0;2;1;3;0;0;0;1;2;1;1;0;0;0;0;7;1;0;0;1;5;2;0;0;0;1;1;9;0;0;2;1;6;7;0;1;1;2;3;7;1;0;1;2;3;8;0;0;1;4;3;6;0;0;0;3;3;3;0;0;2;0;1
Mirna Peè;Površina [m2];579;25;0;0;425;129;648;0;0;0;283;365;40;40;0;0;0;0;1018;107;0;0;169;742;308;0;0;0;88;220;1465;0;0;146;107;1212;1162;0;17;90;318;737;1161;40;0;177;329;615;1253;0;0;82;567;604;1092;0;0;0;580;512;338;0;0;170;0;168
Mislinja;Število;8;0;0;0;0;8;5;0;0;0;2;3;6;0;0;0;1;5;6;0;0;0;0;6;6;0;1;0;1;4;8;0;0;0;2;6;2;0;1;0;0;1;3;0;0;0;0;3;2;0;0;0;0;2;3;0;0;0;0;3;4;0;0;0;0;4
Mislinja;Površina [m2];1722;0;0;0;0;1722;944;0;0;0;301;643;1308;0;0;0;175;1133;1179;0;0;0;0;1179;1028;0;104;0;108;816;1373;0;0;0;203;1170;323;0;171;0;0;152;541;0;0;0;0;541;409;0;0;0;0;409;632;0;0;0;0;632;666;0;0;0;0;666
Mokronog - Trebelno;Število;5;0;0;0;4;1;9;0;0;1;4;4;12;1;0;2;2;7;7;0;0;3;1;3;6;1;0;0;1;4;8;0;1;1;1;5;6;1;0;0;1;4;22;2;3;7;6;4;12;0;2;1;3;6;7;0;1;1;0;5;10;0;0;0;1;9
Mokronog - Trebelno;Površina [m2];852;0;0;0;600;252;1611;0;0;82;582;947;2271;40;0;235;293;1703;942;0;0;264;145;533;1017;55;0;0;159;803;1407;0;78;90;206;1033;1049;48;0;0;61;940;3180;83;249;1043;908;897;2453;0;142;125;608;1578;720;0;46;131;0;543;1303;0;0;0;155;1148
Moravèe;Število;15;0;2;6;2;5;9;0;1;0;3;5;11;0;0;1;4;6;12;1;0;1;3;7;6;0;0;0;0;6;6;0;0;1;0;5;5;0;0;2;1;2;4;0;0;0;0;4;11;0;0;0;0;11;8;0;0;0;0;8;8;0;0;0;1;7
Moravèe;Površina [m2];2265;0;135;747;323;1060;1361;0;81;0;242;1038;1989;0;0;50;877;1062;1910;31;0;110;361;1408;1128;0;0;0;0;1128;895;0;0;49;0;846;629;0;0;202;67;360;1056;0;0;0;0;1056;2182;0;0;0;0;2182;1537;0;0;0;0;1537;1822;0;0;0;129;1693
Moravske Toplice;Število;23;1;4;5;6;7;20;0;1;9;2;8;13;2;2;4;0;5;17;1;1;2;6;7;13;0;0;1;3;9;9;1;0;0;1;7;14;0;0;2;3;9;17;1;1;1;3;11;14;3;3;3;1;4;19;2;4;6;4;3;32;2;10;3;3;14
Moravske Toplice;Površina [m2];2737;44;310;480;811;1092;2804;0;49;789;292;1674;2079;61;130;572;0;1316;2213;22;69;129;858;1135;1756;0;0;86;389;1281;765;19;0;0;88;658;2002;0;0;206;280;1516;2326;50;49;54;297;1876;1190;89;190;284;120;507;1692;83;222;464;574;349;3698;90;552;296;359;2401
Mozirje;Število;10;0;0;0;1;9;13;0;1;0;2;10;76;0;29;28;16;3;48;0;0;39;3;6;3;0;0;0;0;3;19;0;0;0;3;16;7;1;0;0;1;5;8;0;0;2;1;5;6;0;0;2;1;3;13;6;2;2;3;0;26;0;3;22;1;0
Mozirje;Površina [m2];1426;0;0;0;96;1330;1753;0;104;0;197;1452;5580;0;1294;2255;1580;451;4769;0;0;3324;376;1069;607;0;0;0;0;607;2623;0;0;0;405;2218;950;36;0;0;145;769;1711;0;0;272;710;729;1236;0;0;304;235;697;1746;713;265;245;523;0;2123;0;150;1752;221;0
Murska Sobota;Število;30;1;2;4;9;14;26;2;0;3;6;15;18;0;0;5;3;10;12;0;0;2;7;3;18;1;1;2;1;13;26;0;10;7;5;4;58;19;10;7;6;16;13;1;1;1;4;6;14;0;1;5;2;6;21;0;1;3;8;9;23;2;1;6;8;6
Murska Sobota;Površina [m2];4079;34;211;461;1288;2085;3798;190;0;289;941;2378;3318;0;0;1015;457;1846;2353;0;0;315;1315;723;2799;73;79;263;136;2248;2221;0;570;542;502;607;4578;703;597;567;510;2201;1804;41;60;59;720;924;2114;0;59;563;192;1300;2877;0;124;217;1117;1419;3565;218;66;572;1342;1367
Muta;Število;6;0;0;1;1;4;5;0;0;0;0;5;0;0;0;0;0;0;2;1;0;0;1;0;8;0;1;1;2;4;5;0;0;1;1;3;5;1;1;1;1;1;8;0;0;4;3;1;4;0;0;2;0;2;6;0;1;1;0;4;4;0;0;1;0;3
Muta;Površina [m2];764;0;0;104;85;575;891;0;0;0;0;891;0;0;0;0;0;0;247;37;0;0;210;0;1136;0;113;77;282;664;806;0;0;70;210;526;588;22;83;230;96;157;1214;0;0;430;670;114;453;0;0;175;0;278;895;0;58;273;0;564;592;0;0;85;0;507
Naklo;Število;11;1;1;3;1;5;10;0;0;0;5;5;8;0;0;0;3;5;7;1;2;3;0;1;5;0;0;0;1;4;6;0;0;0;1;5;11;0;0;0;2;9;6;0;0;1;1;4;8;0;1;0;1;6;7;0;0;0;1;6;9;0;1;0;3;5
Naklo;Površina [m2];1991;213;81;378;84;1235;1601;0;0;0;585;1016;1759;0;0;0;632;1127;782;37;126;286;0;333;1401;0;0;0;357;1044;965;0;0;0;119;846;1484;0;0;0;434;1050;1054;0;0;69;95;890;1230;0;58;0;159;1013;1476;0;0;0;78;1398;1451;0;162;0;419;870
Nazarje;Število;4;0;0;0;1;3;32;0;7;17;7;1;2;0;0;0;0;2;2;0;0;0;0;2;4;0;0;0;1;3;3;0;1;0;0;2;3;0;1;0;1;1;28;14;8;5;0;1;2;0;0;0;0;2;4;3;0;0;0;1;2;0;1;1;0;0
Nazarje;Površina [m2];567;0;0;0;73;494;1706;0;280;850;420;156;366;0;0;0;0;366;295;0;0;0;0;295;642;0;0;0;85;557;308;0;65;0;0;243;374;0;42;0;147;185;1708;520;644;410;0;134;373;0;0;0;0;373;677;349;0;0;0;328;272;0;174;98;0;0
Nova Gorica;Število;80;2;15;21;14;28;49;1;5;4;21;18;78;8;12;12;21;25;32;0;1;9;10;12;30;1;4;6;9;10;31;0;5;3;9;14;57;2;5;8;16;26;31;0;0;3;9;19;28;0;1;4;8;15;27;0;0;4;11;12;24;0;0;7;2;15
Nova Gorica;Površina [m2];8021;53;685;1331;1783;4169;6114;50;312;484;2816;2452;9859;279;887;1283;3094;4316;3995;0;63;675;1516;1741;3540;78;191;653;860;1758;3989;0;446;298;1262;1983;8666;167;348;792;2380;4979;4359;0;0;374;1279;2706;4016;0;37;478;789;2712;3356;0;0;312;859;2185;2779;0;0;628;254;1897
Novo mesto;Število;41;0;1;2;11;27;28;3;0;3;9;13;32;2;2;1;4;23;39;1;1;1;5;31;48;0;2;5;7;34;49;0;3;3;10;33;41;1;1;6;10;23;39;3;0;1;9;26;54;1;5;3;14;31;37;2;7;2;10;16;83;1;7;8;11;56
Novo mesto;Površina [m2];6849;0;45;209;1353;5242;4082;182;0;174;1253;2473;5246;170;96;92;649;4239;6889;51;108;112;682;5936;7502;0;117;418;1155;5812;8914;0;224;286;1715;6689;7082;53;60;417;1643;4909;6491;310;0;75;1303;4803;8144;46;301;264;2040;5493;4176;42;377;168;841;2748;11596;257;364;1136;1381;8458
Odranci;Število;3;0;0;0;1;2;3;0;0;0;2;1;5;0;1;0;0;4;4;0;1;0;1;2;7;0;0;3;1;3;2;0;2;0;0;0;5;0;0;0;4;1;4;0;0;0;1;3;2;0;0;0;1;1;5;0;0;0;3;2;2;0;0;0;2;0
Odranci;Površina [m2];544;0;0;0;90;454;622;0;0;0;472;150;789;0;58;0;0;731;503;0;55;0;150;298;895;0;0;235;98;562;146;0;146;0;0;0;730;0;0;0;520;210;547;0;0;0;87;460;356;0;0;0;146;210;683;0;0;0;419;264;231;0;0;0;231;0
Oplotnica;Število;12;1;0;2;1;8;13;0;0;5;6;2;18;0;1;5;7;5;14;1;0;1;8;4;11;1;0;1;3;6;9;1;1;1;3;3;14;0;3;2;4;5;7;0;1;2;0;4;6;0;1;0;2;3;4;1;0;0;1;2;8;0;1;0;4;3
Oplotnica;Površina [m2];1951;22;0;228;262;1439;2314;0;0;825;935;554;3205;0;63;820;1200;1122;2163;28;0;67;1337;731;1592;74;0;44;286;1188;1298;80;136;110;451;521;2238;0;246;479;702;811;905;0;45;198;0;662;1256;0;39;0;393;824;607;45;0;0;115;447;1142;0;148;0;463;531
Ormož;Število;56;0;10;23;7;16;17;2;2;6;4;3;22;0;1;5;8;8;29;0;3;8;6;12;51;10;10;14;9;8;21;2;3;1;8;7;37;2;3;13;5;14;29;1;4;8;5;11;21;1;2;4;6;8;14;1;2;6;2;3;28;1;10;5;7;5
Ormož;Površina [m2];5750;0;693;1659;804;2594;1650;112;86;495;436;521;3171;0;57;537;1181;1396;3825;0;345;772;768;1940;4283;357;565;1262;893;1206;2748;143;205;41;1124;1235;4680;113;232;1256;531;2548;3813;30;296;895;737;1855;2652;85;98;425;787;1257;1557;19;228;655;212;443;3296;28;693;566;1094;915
Osilnica;Število;7;6;0;0;1;0;1;0;1;0;0;0;2;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Osilnica;Površina [m2];447;267;0;0;180;0;60;0;60;0;0;0;348;0;0;0;118;230;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;114;0;0;0;0;0;0;0;55;0;55;0;0;0;0;0;0;0;0;0
Pesnica;Število;21;0;3;5;5;8;17;1;0;1;5;10;12;0;0;3;4;5;17;0;1;2;3;11;10;1;0;0;1;8;9;0;1;1;1;6;13;0;1;4;5;3;13;0;3;1;2;7;35;1;1;1;24;8;12;0;0;5;5;2;10;2;1;2;3;2
Pesnica;Površina [m2];2993;0;214;446;695;1638;3024;39;0;150;676;2159;1794;0;0;287;561;946;2662;0;47;112;451;2052;1655;40;0;0;198;1417;1589;0;78;98;112;1301;1792;0;46;394;691;661;2101;0;150;103;227;1621;4307;89;53;136;2911;1118;2161;0;0;791;1059;311;1258;79;29;257;479;414
Piran/Pirano;Število;38;4;13;10;6;5;16;0;0;4;4;8;51;9;17;17;3;5;38;1;23;3;1;10;14;0;0;1;6;7;20;0;1;3;5;11;21;1;1;5;2;12;12;0;2;1;5;4;20;1;2;6;5;6;24;1;5;1;6;11;7;0;1;0;2;4
Piran/Pirano;Površina [m2];4079;292;771;1063;641;1312;2101;0;0;330;555;1216;4905;290;793;2218;375;1229;3982;46;1336;524;201;1875;2557;0;0;138;796;1623;2894;0;84;186;851;1773;3190;40;71;375;381;2323;1956;0;93;70;646;1147;2870;30;93;647;806;1294;3674;46;335;79;1073;2141;1424;0;47;0;452;925
Pivka;Število;15;0;0;1;2;12;23;0;1;0;4;18;13;1;1;2;1;8;15;0;3;0;1;11;14;0;0;0;1;13;14;0;0;1;1;12;4;0;0;0;0;4;5;0;1;0;1;3;8;0;2;1;1;4;11;1;0;0;1;9;7;0;0;0;1;6
Pivka;Površina [m2];1926;0;0;42;237;1647;3197;0;61;0;549;2587;2126;37;64;182;106;1737;2014;0;137;0;97;1780;2320;0;0;0;66;2254;2879;0;0;99;231;2549;517;0;0;0;0;517;589;0;72;0;96;421;1292;0;138;85;209;860;1769;65;0;0;102;1602;1168;0;0;0;110;1058
Podèetrtek;Število;16;0;3;0;4;9;26;5;5;2;5;9;39;6;6;11;9;7;109;11;2;63;17;16;9;2;0;2;2;3;16;0;0;2;6;8;6;0;0;0;3;3;6;0;0;1;0;5;10;0;1;3;1;5;10;1;0;2;3;4;9;0;1;2;0;6
Podèetrtek;Površina [m2];1953;0;140;0;364;1449;2491;140;222;179;458;1492;3045;195;302;698;764;1086;8864;385;127;4289;1927;2136;902;97;0;154;274;377;1828;0;0;140;677;1011;807;0;0;0;333;474;954;0;0;98;0;856;1320;0;50;226;274;770;1197;32;0;184;320;661;1341;0;42;162;0;1137
Podlehnik;Število;2;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;2;0;0;1;1;0;2;0;0;1;0;1;5;1;0;1;0;3;2;0;0;0;2;0;15;0;1;1;5;8;3;0;0;1;0;2;5;1;0;1;3;0
Podlehnik;Površina [m2];260;52;0;0;0;208;110;110;0;0;0;0;204;0;0;0;204;0;238;0;0;0;238;0;196;0;0;80;116;0;252;0;0;120;0;132;778;57;0;92;0;629;221;0;0;0;221;0;2227;0;64;65;683;1415;403;0;0;104;0;299;534;35;0;112;387;0
Podvelka;Število;5;0;0;1;2;2;3;0;0;0;0;3;2;0;0;0;1;1;2;0;0;0;0;2;12;4;4;0;1;3;2;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0
Podvelka;Površina [m2];608;0;0;64;200;344;469;0;0;0;0;469;329;0;0;0;163;166;427;0;0;0;0;427;1175;128;224;0;265;558;147;0;0;60;87;0;0;0;0;0;0;0;43;0;43;0;0;0;0;0;0;0;0;0;301;0;0;51;0;250;0;0;0;0;0;0
