Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poljèane;Število;45;11;13;11;2;8;10;0;1;2;1;6;10;0;1;2;3;4;11;0;0;0;6;5;6;0;0;1;2;3;4;0;0;2;2;0;5;0;0;1;2;2;3;1;0;0;1;1;12;2;5;1;2;2;3;0;0;0;1;2;4;0;0;0;1;3
Poljèane;Površina [m2];5738;508;716;1613;393;2508;1855;0;34;436;129;1256;1672;0;82;173;467;950;2019;0;0;0;1066;953;1020;0;0;121;401;498;487;0;0;275;212;0;826;0;0;211;311;304;252;28;0;0;58;166;1239;112;298;90;278;461;479;0;0;0;110;369;650;0;0;0;106;544
Polzela;Število;44;0;1;2;24;17;21;0;2;1;7;11;16;0;1;0;10;5;11;0;0;1;9;1;9;0;0;1;5;3;7;0;1;2;2;2;13;0;1;2;8;2;13;0;2;4;5;2;15;0;1;2;6;6;65;0;0;3;59;3;22;0;0;3;11;8
Polzela;Površina [m2];8063;0;196;146;3847;3874;4054;0;139;46;1021;2848;2419;0;84;0;1615;720;1806;0;0;193;1439;174;1642;0;0;171;954;517;899;0;47;187;382;283;1808;0;86;229;1064;429;2028;0;140;471;811;606;2019;0;78;384;850;707;6270;0;0;411;5445;414;3672;0;0;531;1810;1331
Postojna;Število;91;3;20;24;20;24;110;6;11;6;25;62;45;2;1;2;14;26;36;0;1;0;2;33;26;0;0;1;10;15;22;0;1;1;2;18;23;0;0;1;6;16;15;0;0;6;1;8;11;1;0;0;2;8;37;2;6;2;7;20;14;1;0;1;0;12
Postojna;Površina [m2];10405;161;1002;1772;2561;4909;10343;184;487;404;2187;7081;7361;326;83;194;1615;5143;6636;0;22;0;226;6388;3968;0;0;168;1072;2728;3155;0;80;63;250;2762;3133;0;0;62;676;2395;2089;0;0;487;89;1513;1874;46;0;0;183;1645;4026;160;309;180;630;2747;2396;95;0;110;0;2191
Prebold;Število;8;0;0;1;2;5;75;12;34;5;21;3;8;0;0;0;5;3;9;0;1;2;5;1;6;0;0;0;3;3;7;0;0;0;1;6;5;0;1;2;1;1;9;1;0;2;6;0;15;0;0;3;8;4;10;0;0;1;6;3;2;0;0;0;1;1
Prebold;Površina [m2];1505;0;0;105;304;1096;5333;335;1899;269;2171;659;1255;0;0;0;810;445;1397;0;90;214;869;224;1343;0;0;0;751;592;1132;0;0;0;250;882;683;0;67;183;221;212;1354;80;0;280;994;0;2460;0;0;495;1182;783;1555;0;0;155;820;580;260;0;0;0;134;126
Preddvor;Število;35;4;8;9;5;9;12;0;0;5;1;6;13;0;0;0;4;9;6;0;0;1;0;5;13;0;6;1;5;1;3;1;0;1;1;0;2;0;0;1;0;1;6;0;0;1;1;4;13;0;0;3;3;7;16;0;1;4;3;8;10;0;0;1;6;3
Preddvor;Površina [m2];4034;192;517;985;547;1793;2239;0;0;673;151;1415;2775;0;0;0;698;2077;1047;0;0;76;0;971;900;0;313;62;430;95;389;149;0;87;153;0;325;0;0;206;0;119;1000;0;0;125;95;780;2104;0;0;304;408;1392;2554;0;54;629;375;1496;1511;0;0;70;906;535
Prevalje;Število;36;10;20;1;0;5;8;0;0;1;1;6;6;0;0;0;0;6;5;0;0;0;1;4;18;4;6;3;1;4;3;0;0;1;1;1;4;0;1;1;1;1;11;0;5;2;0;4;5;0;1;0;1;3;11;0;0;2;3;6;23;3;2;12;1;5
Prevalje;Površina [m2];2401;387;923;86;0;1005;1398;0;0;164;148;1086;1099;0;0;0;0;1099;1348;0;0;0;373;975;1590;130;384;197;150;729;514;0;0;91;190;233;619;0;125;128;140;226;1322;0;315;204;0;803;650;0;82;0;92;476;1759;0;0;177;750;832;2506;168;131;1184;106;917
Ptuj;Število;29;2;1;8;8;10;21;4;0;2;6;9;12;0;1;1;5;5;12;0;4;0;3;5;17;5;2;2;6;2;19;2;2;1;7;7;22;4;3;3;4;8;28;3;1;3;13;8;66;2;18;12;18;16;93;2;2;46;29;14;46;4;5;10;13;14
Ptuj;Površina [m2];4262;118;81;664;1461;1938;2945;168;0;235;1072;1470;2308;0;56;112;817;1323;1538;0;330;0;301;907;1537;262;96;157;780;242;2460;106;160;102;1036;1056;2757;137;211;350;702;1357;3675;221;57;318;1679;1400;7751;158;1080;1041;2561;2911;11442;285;131;4055;4007;2964;6780;145;744;1091;2037;2763
Puconci;Število;17;0;3;4;10;0;14;0;2;2;5;5;12;0;1;3;3;5;16;3;0;0;7;6;8;1;1;3;0;3;10;0;5;1;2;2;14;1;0;4;4;5;16;7;1;1;2;5;9;1;3;1;2;2;12;0;2;5;4;1;10;0;2;0;2;6
Puconci;Površina [m2];2002;0;178;421;1403;0;2311;0;267;257;936;851;1811;0;71;381;411;948;2903;178;0;0;1098;1627;934;45;65;355;0;469;1037;0;226;113;299;399;1718;55;0;366;412;885;1442;200;79;110;290;763;1069;53;215;101;232;468;1173;0;132;420;562;59;1174;0;124;0;271;779
Raèe - Fram;Število;24;0;0;0;13;11;39;0;0;1;13;25;227;12;36;27;16;136;20;0;1;2;8;9;23;0;1;2;13;7;17;0;1;4;4;8;26;1;2;5;10;8;10;0;1;1;4;4;35;0;1;22;10;2;59;0;0;15;40;4;28;0;0;6;17;5
Raèe - Fram;Površina [m2];3708;0;0;0;1849;1859;6306;0;0;110;1830;4366;22205;572;1922;1996;2045;15670;3247;0;68;186;1159;1834;3194;0;47;198;1900;1049;2253;0;63;297;616;1277;3806;34;115;447;1675;1535;2047;0;45;108;978;916;4714;0;32;2606;1480;596;7832;0;0;1886;5228;718;3964;0;0;819;2159;986
Radeèe;Število;26;6;10;2;2;6;2;0;0;1;0;1;6;0;0;1;3;2;2;0;0;0;0;2;7;0;2;0;1;4;6;0;0;0;0;6;5;0;0;1;2;2;1;0;1;0;0;0;1;0;0;0;0;1;4;1;1;1;0;1;2;0;0;0;0;2
Radeèe;Površina [m2];2219;276;580;155;212;996;280;0;0;100;0;180;849;0;0;140;378;331;169;0;0;0;0;169;494;0;77;0;60;357;638;0;0;0;0;638;421;0;0;43;174;204;79;0;79;0;0;0;240;0;0;0;0;240;257;38;61;68;0;90;229;0;0;0;0;229
Radenci;Število;11;0;1;3;3;4;11;0;2;2;2;5;11;0;0;2;7;2;15;0;1;2;5;7;9;0;1;0;3;5;5;0;1;0;3;1;5;0;1;1;3;0;6;1;0;1;3;1;12;1;2;2;4;3;11;0;1;5;5;0;8;0;1;2;1;4
Radenci;Površina [m2];1497;0;23;435;318;721;1970;0;336;368;243;1023;1858;0;0;297;1117;444;2920;0;68;469;714;1669;1423;0;144;0;307;972;782;0;37;0;566;179;639;0;82;197;360;0;868;26;0;64;559;219;1435;36;140;191;636;432;1384;0;94;595;695;0;1110;0;52;308;124;626
Radlje ob Dravi;Število;83;0;21;51;5;6;15;1;6;1;2;5;12;1;0;0;7;4;20;0;0;3;8;9;31;0;24;3;2;2;5;0;0;0;1;4;8;0;1;3;1;3;11;0;2;2;2;5;3;0;1;0;0;2;4;0;0;0;3;1;7;0;1;0;1;5
Radlje ob Dravi;Površina [m2];6053;0;814;3545;675;1019;1896;27;331;277;290;971;2352;98;0;0;1270;984;2569;0;0;383;849;1337;2132;0;1324;311;184;313;708;0;0;0;138;570;901;0;78;318;91;414;1620;0;102;203;267;1048;459;0;38;0;0;421;504;0;0;0;366;138;1027;0;52;0;155;820
Radovljica;Število;52;0;0;1;12;39;48;0;0;3;6;39;57;16;15;1;1;24;122;8;36;34;18;26;34;0;0;4;13;17;23;0;0;4;9;10;28;0;0;0;13;15;24;1;4;4;6;9;24;0;2;6;7;9;22;0;1;8;7;6;34;0;0;5;16;13
Radovljica;Površina [m2];8882;0;0;73;1431;7378;9177;0;0;289;983;7905;5102;507;910;175;180;3330;11270;272;1768;2523;2134;4573;6606;0;0;659;1952;3995;3444;0;0;472;1415;1557;4917;0;0;0;1717;3200;3260;36;358;548;801;1517;3315;0;87;736;808;1684;3902;0;61;1257;1619;965;6230;0;0;649;3329;2252
Ravne na Koroškem;Število;12;0;1;0;2;9;4;0;0;0;1;3;11;0;0;2;4;5;10;0;0;2;2;6;10;2;2;0;1;5;6;0;2;1;1;2;10;0;1;4;1;4;14;1;0;0;2;11;17;1;0;0;2;14;16;0;0;1;6;9;9;0;0;0;1;8
Ravne na Koroškem;Površina [m2];1993;0;60;0;145;1788;638;0;0;0;119;519;1531;0;0;148;585;798;1444;0;0;159;328;957;1422;72;106;0;176;1068;1059;0;277;32;371;379;1370;0;73;379;182;736;2283;100;0;0;257;1926;2199;38;0;0;345;1816;2284;0;0;105;755;1424;1444;0;0;0;281;1163
Razkrižje;Število;7;0;1;0;1;5;1;0;0;0;1;0;3;0;1;1;0;1;3;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;1;1;0;1;0;0;0;1;0;4;1;1;1;0;1;1;0;0;1;0;0
Razkrižje;Površina [m2];1337;0;86;0;183;1068;105;0;0;0;105;0;327;0;68;52;0;207;511;0;0;190;180;141;176;0;0;0;0;176;0;0;0;0;0;0;103;0;103;0;0;0;191;0;0;83;108;0;97;0;0;0;97;0;262;45;42;83;0;92;52;0;0;52;0;0
Reèica ob Savinji;Število;1;0;0;0;0;1;2;0;0;0;0;2;1;0;0;0;0;1;3;0;0;0;0;3;5;0;0;0;1;4;2;0;0;0;0;2;3;1;0;0;0;2;5;0;1;0;1;3;3;0;0;0;2;1;4;2;2;0;0;0;1;0;0;0;0;1
Reèica ob Savinji;Površina [m2];170;0;0;0;0;170;374;0;0;0;0;374;112;0;0;0;0;112;554;0;0;0;0;554;747;0;0;0;60;687;403;0;0;0;0;403;533;126;0;0;0;407;655;0;80;0;126;449;498;0;0;0;330;168;374;273;101;0;0;0;190;0;0;0;0;190
Renèe - Vogrsko;Število;13;0;0;2;5;6;6;0;0;1;1;4;7;0;0;0;3;4;14;1;1;6;1;5;6;0;0;0;3;3;12;1;0;1;1;9;7;0;0;0;5;2;5;0;0;1;1;3;8;0;1;1;5;1;7;0;1;0;1;5;4;0;0;0;1;3
Renèe - Vogrsko;Površina [m2];1733;0;0;148;620;965;1080;0;0;96;74;910;1515;0;0;0;546;969;2123;140;32;478;190;1283;890;0;0;0;479;411;1469;32;0;87;95;1255;771;0;0;0;541;230;812;0;0;75;147;590;1234;0;93;133;768;240;874;0;104;0;113;657;731;0;0;0;179;552
Ribnica;Število;102;7;11;47;28;9;22;2;3;3;3;11;18;0;1;1;2;14;13;0;0;1;4;8;25;0;0;0;6;19;18;0;5;1;2;10;11;1;0;0;3;7;10;0;1;0;3;6;13;1;0;3;4;5;16;0;0;1;7;8;18;0;0;0;11;7
Ribnica;Površina [m2];8101;227;517;2821;2444;2092;4097;64;291;490;855;2397;3865;0;47;91;178;3549;2958;0;0;113;729;2116;5084;0;0;0;919;4165;3458;0;450;242;320;2446;2241;15;0;0;533;1693;2067;0;45;0;657;1365;2348;133;0;333;673;1209;3730;0;0;154;1522;2054;4272;0;0;0;2448;1824
Ribnica na Pohorju;Število;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;5;0;0;4;1;0;0;0;0;0;0;0;8;0;4;0;2;2;3;1;1;1;0;0;1;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0
Ribnica na Pohorju;Površina [m2];0;0;0;0;0;0;0;0;0;0;0;0;461;0;0;0;287;174;233;0;0;86;147;0;0;0;0;0;0;0;852;0;467;0;166;219;376;97;139;140;0;0;220;0;0;0;0;220;271;0;0;0;271;0;0;0;0;0;0;0;64;0;0;64;0;0
Rogaška Slatina;Število;72;14;33;6;5;14;36;2;3;7;4;20;43;0;5;5;8;25;43;0;1;2;13;27;46;2;3;6;6;29;35;1;3;1;5;25;22;1;0;0;2;19;27;0;1;1;2;23;24;0;1;3;6;14;28;0;0;1;6;21;44;0;2;6;4;32
Rogaška Slatina;Površina [m2];5457;559;1718;424;497;2259;4553;78;163;554;439;3319;6019;0;341;619;995;4064;6855;0;110;198;2005;4542;7111;70;183;461;1074;5323;4835;30;140;70;625;3970;3730;30;0;0;353;3347;3316;0;35;75;185;3021;3815;0;135;232;900;2548;5269;0;0;80;947;4242;6238;0;97;608;497;5036
Rogašovci;Število;7;0;2;3;0;2;4;0;1;0;0;3;3;1;1;0;0;1;6;0;1;1;1;3;7;0;1;3;2;1;5;0;0;0;3;2;8;2;0;1;2;3;10;0;1;3;4;2;6;0;0;3;2;1;7;0;0;1;1;5;4;0;1;0;3;0
Rogašovci;Površina [m2];819;0;73;236;0;510;557;0;79;0;0;478;293;41;76;0;0;176;1125;0;166;112;186;661;1238;0;107;480;384;267;894;0;0;0;345;549;1030;74;0;122;238;596;1729;0;31;183;996;519;1118;0;0;329;497;292;860;0;0;43;132;685;591;0;70;0;521;0
Rogatec;Število;7;0;0;1;2;4;6;0;0;1;0;5;3;0;0;1;0;2;6;0;0;0;0;6;1;0;0;0;0;1;4;0;0;2;0;2;6;0;0;2;1;3;3;0;0;0;0;3;2;0;0;1;0;1;8;0;1;1;2;4;2;0;0;0;0;2
Rogatec;Površina [m2];742;0;0;78;176;488;747;0;0;63;0;684;383;0;0;130;0;253;818;0;0;0;0;818;137;0;0;0;0;137;491;0;0;168;0;323;1019;0;0;226;97;696;528;0;0;0;0;528;160;0;0;80;0;80;948;0;67;71;309;501;212;0;0;0;0;212
Ruše;Število;10;0;0;0;1;9;23;0;2;2;3;16;16;0;1;2;2;11;13;0;2;4;1;6;6;0;1;1;1;3;10;0;3;1;1;5;4;0;0;0;1;3;2;0;0;0;1;1;11;0;0;1;0;10;7;2;0;1;1;3;2;0;1;1;0;0
Ruše;Površina [m2];1372;0;0;0;126;1246;3515;0;125;147;344;2899;1966;0;75;111;101;1679;1638;0;112;300;129;1097;727;0;68;76;128;455;1351;0;308;74;228;741;885;0;0;0;175;710;271;0;0;0;118;153;2082;0;0;92;0;1990;703;50;0;67;202;384;64;0;22;42;0;0
Selnica ob Dravi;Število;12;0;1;1;2;8;15;0;0;0;2;13;8;1;0;2;0;5;9;0;0;3;0;6;13;0;1;2;1;9;4;0;0;1;0;3;11;0;0;2;2;7;9;0;0;1;1;7;5;0;0;2;1;2;2;0;0;0;1;1;4;0;0;1;0;3
Selnica ob Dravi;Površina [m2];1705;0;65;67;230;1343;2633;0;0;0;232;2401;1111;62;0;312;0;737;1210;0;0;225;0;985;1828;0;82;180;91;1475;519;0;0;105;0;414;1665;0;0;127;273;1265;1474;0;0;74;87;1313;569;0;0;152;133;284;271;0;0;0;165;106;581;0;0;118;0;463
Semiè;Število;3;0;1;0;1;1;5;0;0;1;4;0;6;0;0;1;2;3;7;0;0;4;2;1;8;1;1;1;2;3;4;0;0;0;3;1;4;0;1;0;2;1;5;0;0;2;1;2;9;1;1;1;1;5;6;0;1;2;3;0;7;0;0;1;2;4
Semiè;Površina [m2];456;0;88;0;163;205;686;0;0;56;630;0;860;0;0;110;265;485;859;0;0;390;290;179;976;27;49;110;302;488;769;0;0;0;604;165;715;0;70;0;471;174;931;0;0;197;151;583;1195;58;46;69;63;959;493;0;65;134;294;0;648;0;0;70;121;457
Sevnica;Število;38;0;4;6;6;22;53;0;0;3;7;43;34;1;4;4;2;23;30;1;0;3;4;22;33;0;1;2;2;28;31;0;2;5;0;24;38;0;1;6;7;24;37;0;0;0;4;33;24;0;2;1;0;21;17;0;1;0;1;15;16;0;4;0;0;12
Sevnica;Površina [m2];5396;0;394;463;826;3713;8596;0;0;192;938;7466;4166;63;285;319;241;3258;4727;40;0;438;454;3795;5050;0;81;165;260;4544;4510;0;93;493;0;3924;6313;0;64;598;850;4801;5951;0;0;0;371;5580;4150;0;126;60;0;3964;2832;0;54;0;89;2689;2524;0;350;0;0;2174
Sežana;Število;46;0;2;1;15;28;34;0;0;6;10;18;30;0;1;3;16;10;41;3;1;4;17;16;16;0;0;1;6;9;17;0;1;4;10;2;21;1;1;7;6;6;21;0;0;1;13;7;35;1;2;10;9;13;26;0;4;12;4;6;21;2;0;6;9;4
Sežana;Površina [m2];7295;0;129;85;2262;4819;5551;0;0;863;1493;3195;5272;0;55;497;2634;2086;8114;114;73;512;3417;3998;3099;0;0;163;1341;1595;2530;0;54;395;1737;344;3956;46;58;1247;945;1660;3152;0;0;152;1814;1186;6551;19;111;1389;1654;3378;3881;0;500;1686;491;1204;3589;84;0;1062;1406;1037
Slovenj Gradec;Število;31;1;3;6;2;19;24;0;0;2;0;22;21;0;1;1;4;15;23;0;0;2;3;18;15;0;2;1;6;6;20;0;1;1;6;12;22;1;2;4;5;10;21;2;2;2;4;11;18;4;3;3;2;6;5;0;0;0;0;5;51;8;3;5;8;27
Slovenj Gradec;Površina [m2];5541;40;238;850;273;4140;6717;0;0;236;0;6481;4153;0;126;50;846;3131;4641;0;0;260;448;3933;2776;0;247;202;1127;1200;3376;0;89;62;900;2325;3751;140;185;538;823;2065;3621;119;240;164;658;2440;1943;150;156;185;293;1159;761;0;0;0;0;761;4841;274;184;445;1220;2718
Slovenska Bistrica;Število;147;1;9;63;27;47;272;7;24;49;35;157;87;0;5;26;38;18;57;3;8;11;21;14;81;2;12;5;34;28;47;1;3;2;17;24;59;3;8;13;19;16;49;1;0;10;14;24;46;5;3;16;9;13;40;0;2;1;7;30;74;2;3;5;16;48
Slovenska Bistrica;Površina [m2];24480;46;911;9597;4463;9463;23371;279;1718;6411;5804;9159;14412;0;568;3513;6835;3496;8811;147;672;1971;3468;2553;10416;70;575;492;4697;4582;8093;64;262;188;3003;4576;7192;86;395;1262;2617;2832;7038;28;0;1108;1826;4076;5137;151;224;1322;1328;2112;6624;0;103;56;784;5681;11064;163;222;451;1988;8240
Slovenske Konjice;Število;85;13;2;26;22;22;100;5;19;25;26;25;48;0;3;5;14;26;76;2;27;27;4;16;20;1;0;2;6;11;30;0;5;1;7;17;22;0;1;3;3;15;29;1;1;7;3;17;24;1;2;2;9;10;55;0;8;31;5;11;12;0;0;1;3;8
Slovenske Konjice;Površina [m2];10729;402;98;2372;3245;4612;11238;422;964;2200;2732;4920;8494;0;246;615;2171;5462;7233;96;1742;2244;495;2656;3543;79;0;314;837;2313;5758;0;307;88;1566;3797;3687;0;118;228;293;3048;4537;67;126;950;304;3090;3894;55;289;231;1469;1850;7237;0;675;3862;487;2213;1981;0;0;79;471;1431
Sodražica;Število;9;0;0;2;1;6;5;0;1;2;0;2;6;0;0;0;1;5;5;0;2;0;0;3;5;0;0;1;2;2;5;0;0;1;1;3;4;0;0;0;2;2;7;1;2;1;2;1;1;0;0;0;1;0;5;0;0;0;1;4;5;0;0;1;0;4
Sodražica;Površina [m2];1837;0;0;296;126;1415;939;0;159;258;0;522;1396;0;0;0;281;1115;856;0;119;0;0;737;866;0;0;86;347;433;878;0;0;140;175;563;1068;0;0;0;422;646;853;39;192;201;255;166;197;0;0;0;197;0;1192;0;0;0;247;945;1157;0;0;140;0;1017
Solèava;Število;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0
Solèava;Površina [m2];0;0;0;0;0;0;185;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;146;0;0;0;0;146;0;0;0;0;0;0;82;0;0;0;82;0;135;0;0;0;0;135;274;0;0;0;145;129;0;0;0;0;0;0;123;0;0;123;0;0
Središèe ob Dravi;Število;0;0;0;0;0;0;3;0;1;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;2;0;0;0;1;1;4;0;1;0;3;0;5;0;0;0;2;3;2;0;1;0;1;0;2;0;0;1;0;1;2;0;1;1;0;0
Središèe ob Dravi;Površina [m2];0;0;0;0;0;0;289;0;39;0;250;0;341;0;0;0;0;341;0;0;0;0;0;0;428;0;0;168;260;0;306;0;0;0;154;152;505;0;41;0;464;0;715;0;0;0;168;547;208;0;94;0;114;0;315;0;0;191;0;124;158;0;53;105;0;0
Starše;Število;13;0;0;3;0;10;14;0;1;1;5;7;10;2;0;0;2;6;5;0;0;0;2;3;6;0;0;0;3;3;7;0;0;1;2;4;7;0;0;4;1;2;10;0;0;4;4;2;11;0;0;1;4;6;9;0;1;2;3;3;12;0;0;1;0;11
Starše;Površina [m2];2261;0;0;323;0;1938;2026;0;34;135;682;1175;1720;78;0;0;312;1330;923;0;0;0;347;576;911;0;0;0;427;484;1066;0;0;86;217;763;1052;0;0;432;213;407;1352;0;0;491;568;293;1487;0;0;77;672;738;1384;0;35;236;385;728;1999;0;0;106;0;1893
Straža;Število;5;1;0;0;1;3;1;0;1;0;0;0;3;1;0;0;0;2;2;0;0;0;1;1;3;1;0;0;0;2;1;0;0;0;0;1;5;0;0;0;1;4;12;0;0;0;1;11;8;0;0;0;0;8;10;0;1;0;2;7;11;0;0;0;2;9
Straža;Površina [m2];790;21;0;0;244;525;64;0;64;0;0;0;321;35;0;0;0;286;252;0;0;0;110;142;333;61;0;0;0;272;164;0;0;0;0;164;907;0;0;0;224;683;2158;0;0;0;215;1943;1750;0;0;0;0;1750;1313;0;61;0;288;964;1970;0;0;0;253;1717
Sveta Ana;Število;9;0;1;1;1;6;8;0;0;3;1;4;11;0;0;4;3;4;14;0;1;0;5;8;6;0;0;0;2;4;4;0;0;2;0;2;21;1;7;7;2;4;10;0;0;2;4;4;6;0;1;1;1;3;25;1;9;2;10;3;6;0;0;0;3;3
Sveta Ana;Površina [m2];1675;0;33;88;140;1414;1302;0;0;273;180;849;2119;0;0;678;509;932;2536;0;70;0;829;1637;1122;0;0;0;404;718;864;0;0;193;0;671;2491;38;448;657;350;998;2001;0;0;164;894;943;1302;0;387;77;269;569;2711;50;715;184;1155;607;936;0;0;0;427;509
Sveta Trojica v Slov. goricah*;Število;9;0;0;5;2;2;9;0;1;1;4;3;7;0;0;0;5;2;6;0;0;1;5;0;6;0;0;1;1;4;10;0;1;1;2;6;5;1;0;1;1;2;5;0;0;1;1;3;34;2;1;2;26;3;8;0;0;1;1;6;8;0;0;2;3;3
Sveta Trojica v Slov. goricah*;Površina [m2];1491;0;0;817;182;492;1593;0;56;124;762;651;1604;0;0;0;942;662;756;0;0;80;676;0;960;0;0;99;100;761;1548;0;33;54;252;1209;994;55;0;78;285;576;1297;0;0;178;210;909;4458;101;174;267;3348;568;1451;0;0;160;141;1150;1173;0;0;303;399;471
Sveti Andraž v Slov. goricah;Število;0;0;0;0;0;0;8;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;6;2;1;1;1;1;3;0;0;0;1;2;2;0;0;0;0;2;3;0;0;1;1;1;4;0;1;0;1;2
Sveti Andraž v Slov. goricah;Površina [m2];0;0;0;0;0;0;1292;30;0;0;556;706;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;120;0;120;0;0;0;0;120;666;51;57;334;97;127;781;0;0;0;98;683;354;0;0;0;0;354;725;0;0;185;354;186;682;0;37;0;141;504
Sveti Jurij ob Šèavnici;Število;12;1;0;2;4;5;8;0;1;1;1;5;7;0;1;0;1;5;8;0;2;2;1;3;13;0;2;2;3;6;8;1;4;0;2;1;9;0;2;4;1;2;9;1;1;0;3;4;6;0;0;3;2;1;5;0;0;2;3;0;6;1;0;1;2;2
Sveti Jurij ob Šèavnici;Površina [m2];2353;52;0;405;886;1010;1710;0;72;91;196;1351;1690;0;197;0;198;1295;1154;0;205;168;214;567;2244;0;365;277;439;1163;877;28;283;0;340;226;1153;0;214;382;166;391;1477;51;100;0;488;838;1262;0;0;405;459;398;903;0;0;405;498;0;792;30;0;130;338;294
Sveti Jurij v Slov. goricah;Število;5;0;0;0;2;3;7;0;0;1;1;5;7;0;0;1;4;2;12;1;1;0;5;5;8;0;1;0;2;5;5;0;0;0;2;3;4;0;0;1;1;2;4;0;0;1;2;1;4;0;1;2;0;1;3;0;1;0;0;2;3;1;0;1;1;0
Sveti Jurij v Slov. goricah;Površina [m2];874;0;0;0;341;533;1302;0;0;64;115;1123;892;0;0;85;502;305;1587;33;109;0;739;706;1513;0;131;0;246;1136;1312;0;0;0;762;550;717;0;0;68;193;456;621;0;0;112;307;202;515;0;77;184;0;254;397;0;42;0;0;355;348;62;0;104;182;0
Sveti Tomaž;Število;5;0;0;3;1;1;6;0;2;0;2;2;8;0;1;2;4;1;3;0;0;0;1;2;4;0;0;2;2;0;7;2;0;0;1;4;6;0;2;2;0;2;5;0;0;1;0;4;6;1;1;3;0;1;3;0;0;0;2;1;6;0;1;1;2;2
Sveti Tomaž;Površina [m2];562;0;0;313;105;144;564;0;98;0;203;263;878;0;53;192;501;132;377;0;0;0;144;233;434;0;0;187;247;0;704;128;0;0;98;478;455;0;78;159;0;218;697;0;0;70;0;627;570;47;79;323;0;121;381;0;0;0;237;144;777;0;40;100;230;407
Šalovci;Število;3;0;0;0;1;2;5;0;0;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;2;3;0;0;2;0;1;2;1;0;0;1;0;4;0;0;3;0;1;2;0;0;1;1;0;6;1;1;0;2;2;1;0;0;1;0;0
Šalovci;Površina [m2];392;0;0;0;76;316;909;0;0;228;226;455;135;0;0;135;0;0;0;0;0;0;0;0;392;0;64;0;0;328;380;0;0;223;0;157;293;50;0;0;243;0;571;0;0;439;0;132;234;0;0;150;84;0;619;21;52;0;266;280;112;0;0;112;0;0
Šempeter - Vrtojba;Število;63;60;0;1;2;0;7;0;0;2;2;3;5;0;0;1;2;2;2;0;0;0;0;2;7;0;0;1;1;5;6;0;0;1;2;3;10;0;0;2;3;5;8;0;0;2;4;2;13;0;0;2;2;9;1;0;0;0;1;0;4;0;0;0;1;3
Šempeter - Vrtojba;Površina [m2];2801;2328;0;135;338;0;1152;0;0;289;281;582;763;0;0;233;266;264;540;0;0;0;0;540;1094;0;0;100;167;827;1041;0;0;308;282;451;1339;0;0;109;342;888;964;0;0;154;410;400;1330;0;0;74;88;1168;247;0;0;0;247;0;681;0;0;0;148;533
Šenèur;Število;22;0;0;1;6;15;24;0;0;1;10;13;18;0;0;2;0;16;15;0;0;0;3;12;11;0;0;2;3;6;14;0;0;4;3;7;11;1;0;0;4;6;9;0;3;1;3;2;16;1;1;2;6;6;13;0;0;1;3;9;11;0;0;0;3;8
