statisticna_regija,leto,stevilo_stanovanj,stevilo_prebivalcev,povrsina_stanovanj,povrsina_ocena_dokoncanih,stevilo_ocena_dokoncanih
Pomurska,2010,256,119548,52682,43413,317
Pomurska,2011,188,119145,42149,40273,271
Pomurska,2012,147,118988,32372,38516,234
Pomurska,2013,184,118022,41480,34213,227
Pomurska,2014,174,117133,34615,29559,216
Pomurska,2015,260,116670,47876,21540,187
Pomurska,2016,234,116078,47456,36569,305
Pomurska,2017,221,115477,43828,24649,195
Pomurska,2018,278,114776,55696,24828,200
Pomurska,2019,233,114287,44119,27544,253
Pomurska,2020,241,114238,48337,33329,245
Podravska,2010,748,323343,146601,129417,904
Podravska,2011,801,323119,144630,139337,981
Podravska,2012,452,323534,94677,114223,905
Podravska,2013,505,323238,109527,77085,546
Podravska,2014,467,323328,107968,72982,529
Podravska,2015,449,323356,97517,63228,427
Podravska,2016,582,322553,122391,72054,513
Podravska,2017,663,322043,139068,74895,507
Podravska,2018,725,322058,152539,86496,622
Podravska,2019,712,324104,162776,87864,656
Podravska,2020,734,325994,174846,99954,680
Koroška,2010,91,72812,24369,22641,209
Koroška,2011,88,72494,21141,16002,87
Koroška,2012,89,72364,20941,13630,81
Koroška,2013,104,72100,21442,16256,103
Koroška,2014,100,71546,22463,14593,123
Koroška,2015,71,71303,14926,11186,79
Koroška,2016,71,71040,16318,12569,79
Koroška,2017,75,70761,16821,12718,86
Koroška,2018,85,70550,20004,9137,70
Koroška,2019,112,70588,19759,9816,67
Koroška,2020,198,70755,35029,14367,132
Savinjska,2010,717,260025,133570,116416,956
Savinjska,2011,532,259726,106146,105538,860
Savinjska,2012,603,260253,112377,82631,595
Savinjska,2013,341,260217,77033,88032,686
Savinjska,2014,302,259853,66333,58688,357
Savinjska,2015,310,253975,68732,50154,356
Savinjska,2016,341,254318,71924,50878,344
Savinjska,2017,361,254761,77191,50055,360
Savinjska,2018,476,254760,93095,54008,368
Savinjska,2019,418,256359,88698,59270,427
Savinjska,2020,436,257847,104123,55846,417
Zasavska,2010,55,44706,30093,5467,33
Zasavska,2011,24,44222,6741,8514,68
Zasavska,2012,39,43926,7646,3585,21
Zasavska,2013,22,43502,6582,4183,39
Zasavska,2014,28,42983,6389,5978,35
Zasavska,2015,64,57711,16146,5315,33
Zasavska,2016,43,57404,9550,5720,44
Zasavska,2017,39,57280,8918,3061,23
Zasavska,2018,46,57061,9480,1873,16
Zasavska,2019,17,56962,4817,2265,16
Zasavska,2020,45,57156,9893,3653,24
Posavska,2010,132,70192,31860,26807,193
Posavska,2011,92,70167,23340,24957,164
Posavska,2012,81,70164,19082,17353,129
Posavska,2013,96,70211,25093,16906,118
Posavska,2014,122,69958,29467,14788,99
Posavska,2015,110,75619,25760,12124,92
Posavska,2016,130,75711,25978,17123,116
Posavska,2017,113,75544,26397,20018,148
Posavska,2018,114,75359,25712,15562,98
Posavska,2019,143,75559,28822,13906,96
Posavska,2020,122,75824,25881,20199,158
Jugovzhodna Slovenija,2010,222,142092,51819,40024,310
Jugovzhodna Slovenija,2011,280,142483,59420,37464,225
Jugovzhodna Slovenija,2012,240,142680,61377,33968,237
Jugovzhodna Slovenija,2013,218,142509,57251,36040,213
Jugovzhodna Slovenija,2014,278,142405,65021,31632,196
Jugovzhodna Slovenija,2015,275,142373,66809,40384,252
Jugovzhodna Slovenija,2016,265,142566,56669,35541,200
Jugovzhodna Slovenija,2017,229,142711,55232,40612,244
Jugovzhodna Slovenija,2018,272,142819,59772,39338,239
Jugovzhodna Slovenija,2019,259,144032,58093,30112,241
Jugovzhodna Slovenija,2020,382,145357,84939,38282,262
Osrednjeslovenska,2010,1423,529646,373385,214794,1817
Osrednjeslovenska,2011,672,533213,155159,183099,1568
Osrednjeslovenska,2012,569,536484,133788,125716,777
Osrednjeslovenska,2013,971,541718,212457,103517,615
Osrednjeslovenska,2014,645,546314,138100,122003,941
Osrednjeslovenska,2015,429,534518,107813,102073,698
Osrednjeslovenska,2016,707,537023,158208,109621,628
Osrednjeslovenska,2017,857,539672,190917,120283,828
Osrednjeslovenska,2018,903,542306,194902,114726,762
Osrednjeslovenska,2019,773,549171,174388,142237,978
Osrednjeslovenska,2020,806,555274,173802,138533,926
Gorenjska,2010,357,202903,96683,105081,694
Gorenjska,2011,329,203427,74643,75999,498
Gorenjska,2012,450,204057,93252,61060,375
Gorenjska,2013,275,203984,65643,59982,465
Gorenjska,2014,208,203894,49845,48787,291
Gorenjska,2015,235,203850,57548,43674,251
Gorenjska,2016,327,203838,70614,39286,241
Gorenjska,2017,238,203800,61618,40401,309
Gorenjska,2018,325,203636,81429,41992,249
Gorenjska,2019,333,204670,71032,46179,296
Gorenjska,2020,309,206621,68370,53332,382
Primorsko-notranjska,2010,206,52217,40665,22547,158
Primorsko-notranjska,2011,72,52287,17958,19105,162
Primorsko-notranjska,2012,79,52387,21578,18543,107
Primorsko-notranjska,2013,57,52382,14026,15714,93
Primorsko-notranjska,2014,54,52449,12574,10154,65
Primorsko-notranjska,2015,84,52538,22085,10833,72
Primorsko-notranjska,2016,65,52523,16460,8878,57
Primorsko-notranjska,2017,53,52582,12259,8910,56
Primorsko-notranjska,2018,71,52334,15040,9901,61
Primorsko-notranjska,2019,30,52544,7047,8871,70
Primorsko-notranjska,2020,66,52841,12845,5724,36
Goriška,2010,210,119080,58420,47534,387
Goriška,2011,248,119146,60200,36125,241
Goriška,2012,192,119236,47770,40452,291
Goriška,2013,203,119002,51904,28171,188
Goriška,2014,154,118374,44177,28152,172
Goriška,2015,197,118188,49903,27597,184
Goriška,2016,140,118064,38624,33826,223
Goriška,2017,129,117747,36442,29834,177
Goriška,2018,177,117260,46189,26811,191
Goriška,2019,168,117616,42649,22048,142
Goriška,2020,222,118041,42856,22215,139
Obalno-kraška,2010,324,110412,65096,47971,377
Obalno-kraška,2011,387,110760,60583,41475,373
Obalno-kraška,2012,141,111423,26663,46711,555
Obalno-kraška,2013,105,111936,25739,27829,191
Obalno-kraška,2014,109,112848,24887,21623,139
Obalno-kraška,2015,204,112773,41802,20372,145
Obalno-kraška,2016,129,113070,27181,28096,225
Obalno-kraška,2017,138,113517,30620,15550,111
Obalno-kraška,2018,165,113961,41234,23321,161
Obalno-kraška,2019,116,115016,27121,21885,173
Obalno-kraška,2020,106,115913,25255,22851,139
